shipment_id,product_id,supplier_id,shipping_carrier,transportation_mode,route,shipping_cost,total_cost,shipping_time,shipped_at
b9e6da6d-870f-4e07-bab8-6d4f80014f6a,6af613b6-569c-5c22-9c37-2ed93f31d3af,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,2.6,188.68,6,2026-01-24
7713b6ab-6a2f-4af0-bc35-4ec0490d482d,6af613b6-569c-5c22-9c37-2ed93f31d3af,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,2.6,188.68,6,2026-01-24
5b919545-1a6c-44a0-a860-b17becb61a10,6af613b6-569c-5c22-9c37-2ed93f31d3af,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,2.6,188.68,6,2026-01-24
cc6fe99c-1c5f-429d-bc1b-32dac0dd80ef,6af613b6-569c-5c22-9c37-2ed93f31d3af,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,2.6,188.68,6,2026-01-24
32bedf06-460d-426f-9e50-edfa55477718,6af613b6-569c-5c22-9c37-2ed93f31d3af,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,2.6,188.68,6,2026-01-24
76ca8527-35b6-4b6e-82a5-ac1516853d14,b04965e6-a9bb-591f-8f8a-1adcb2c8dc39,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,3.22,187.49,3,2026-01-24
0b860050-e195-48a3-9eb8-3b6f4164d71a,b04965e6-a9bb-591f-8f8a-1adcb2c8dc39,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,3.22,187.49,3,2026-01-24
9c9b424e-e7e2-4d77-838c-e47adfb9943d,b04965e6-a9bb-591f-8f8a-1adcb2c8dc39,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,3.22,187.49,3,2026-01-24
419e6547-6506-492a-98e9-f3088fb6b313,b04965e6-a9bb-591f-8f8a-1adcb2c8dc39,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,3.22,187.49,3,2026-01-24
4cd7387d-f26d-40f7-b81e-5f6ee16bb474,b04965e6-a9bb-591f-8f8a-1adcb2c8dc39,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,3.22,187.49,3,2026-01-24
6228b121-47be-44b4-9d66-4c4328781414,4b166dbe-d99d-5091-abdd-95b83330ed3a,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,3.26,188.97,2,2026-01-24
7f768496-a38a-4970-ad5e-4246c0515e6e,4b166dbe-d99d-5091-abdd-95b83330ed3a,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,3.26,188.97,2,2026-01-24
c1cf63b0-c8d0-42dd-afa3-6fdb5a48c1fb,4b166dbe-d99d-5091-abdd-95b83330ed3a,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,3.26,188.97,2,2026-01-24
7582bdba-c506-4890-b4e3-3aeb6961a9b0,4b166dbe-d99d-5091-abdd-95b83330ed3a,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,3.26,188.97,2,2026-01-24
c7376ab3-8528-475d-b829-b111d9ae8848,4b166dbe-d99d-5091-abdd-95b83330ed3a,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,3.26,188.97,2,2026-01-24
0c1666e2-6c84-4085-856d-9706fb4e0d6d,98123fde-012f-5ff3-8b50-881449dac91a,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,3.04,190.61,6,2026-01-24
54e3077d-20ab-44ae-8702-833193a6afe0,98123fde-012f-5ff3-8b50-881449dac91a,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,3.04,190.61,6,2026-01-24
db8e6a89-4375-46fe-aa41-59f5bf59e06d,98123fde-012f-5ff3-8b50-881449dac91a,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,3.04,190.61,6,2026-01-24
4b83b38a-7370-46bc-8704-7cabd33eeb9b,98123fde-012f-5ff3-8b50-881449dac91a,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,3.04,190.61,6,2026-01-24
2c68683e-fa13-4be7-9a46-890d6f3eae37,98123fde-012f-5ff3-8b50-881449dac91a,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,3.04,190.61,6,2026-01-24
fb19b29b-6f81-4e99-ba63-5381f8e1a584,6ed955c6-506a-5343-9be4-2c0afae02eef,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,2.7,187.31,3,2026-01-24
a2879776-977b-46fd-81af-f805c30f6e7d,6ed955c6-506a-5343-9be4-2c0afae02eef,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,2.7,187.31,3,2026-01-24
adb44228-7dc6-4810-a96f-a580621c72e0,6ed955c6-506a-5343-9be4-2c0afae02eef,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,2.7,187.31,3,2026-01-24
45dec862-e73c-4e48-a29b-46d25c06c9ce,6ed955c6-506a-5343-9be4-2c0afae02eef,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,2.7,187.31,3,2026-01-24
c5f2204e-2dd3-4c87-94a2-4c57329df558,6ed955c6-506a-5343-9be4-2c0afae02eef,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,2.7,187.31,3,2026-01-24
962421b2-a5eb-42bc-a0bd-7567bda8d0fc,c8691da2-158a-5ed6-8537-0e6f140801f2,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,3.34,187.31,5,2026-01-24
9d11f529-8449-40b0-9fff-922ac14c45b0,c8691da2-158a-5ed6-8537-0e6f140801f2,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,3.34,187.31,5,2026-01-24
30075d88-6b48-4c88-bc94-80d4e63f560c,c8691da2-158a-5ed6-8537-0e6f140801f2,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,3.34,187.31,5,2026-01-24
1161589b-5899-472f-a537-d166a5afc8c9,c8691da2-158a-5ed6-8537-0e6f140801f2,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,3.34,187.31,5,2026-01-24
a271a84c-adf8-44f5-912b-b4142df5a691,c8691da2-158a-5ed6-8537-0e6f140801f2,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,3.34,187.31,5,2026-01-24
3dc7cac7-56e8-49f3-97cb-65517686eb69,a6c4fc8f-6950-51de-a9ae-2c519c465071,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,2.88,190.72,3,2026-01-24
b20e6f21-31df-44ab-a1f4-50dea6b6ae9b,a6c4fc8f-6950-51de-a9ae-2c519c465071,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,2.88,190.72,3,2026-01-24
d7caad34-065c-43ef-b59a-c84d3bf5d336,a6c4fc8f-6950-51de-a9ae-2c519c465071,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,2.88,190.72,3,2026-01-24
ebcd2e8a-b781-4277-94fc-54fd4645ebf9,a6c4fc8f-6950-51de-a9ae-2c519c465071,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,2.88,190.72,3,2026-01-24
bd2e2de1-6775-4b7d-8c31-f9d48c3743d1,a6c4fc8f-6950-51de-a9ae-2c519c465071,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,2.88,190.72,3,2026-01-24
dcec8c75-78ac-4e4a-820e-2df201024475,a9f96b98-dd44-5216-ab0d-dbfc6b262edf,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,3.3,189.19,2,2026-01-24
a127d1f2-71e8-4024-961e-6c581c970337,a9f96b98-dd44-5216-ab0d-dbfc6b262edf,9c1b1209-2cf8-4019-b77a-5181be7cd227,Carrier B,Road,Route B,3.3,189.19,2,2026-01-24
45a41e82-eba5-48ea-96ac-0454b2b5cfc5,a9f96b98-dd44-5216-ab0d-dbfc6b262edf,7650731a-4c80-4e01-95a2-ae10fd2fe64c,Carrier B,Road,Route B,3.3,189.19,2,2026-01-24
bc235c2c-52d0-47df-85e0-a67184bddf0e,a9f96b98-dd44-5216-ab0d-dbfc6b262edf,50472e9a-f245-497b-b7c0-b0381de65bff,Carrier B,Road,Route B,3.3,189.19,2,2026-01-24
e010b214-4765-4c71-b27f-6329453de6d8,a9f96b98-dd44-5216-ab0d-dbfc6b262edf,41d4c0c9-0bad-440f-83c4-de2058446713,Carrier B,Road,Route B,3.3,189.19,2,2026-01-24
61889fbc-5e05-4736-832a-b71726caea4c,e99caacd-6c45-5906-bd9f-b79e62f25963,c17fc11e-91da-476f-bd7a-741693381136,Carrier B,Road,Route B,2.94,186.87,2,2026-01-24
