Shipping times,Shipping costs,Transportation modes,Routes,Order quantities,Production volumes,Manufacturing costs,Supplier name,damage_risk
6,2.6012919385599713,2,1,98,214,43.46939311586944,2,1
3,3.2201089763374884,2,1,95,213,51.332779179547074,2,1
2,3.257622149786048,2,1,98,213,47.134300044768985,2,1
6,3.040813923891567,2,1,98,213,53.94554124776271,2,1
3,2.703846505308633,2,1,95,216,40.76240177469783,2,1
5,3.335908467375729,2,1,98,213,45.54754275791912,2,1
3,2.8833573008169657,2,1,96,217,48.10107528490348,2,1
2,3.303802242772891,2,1,96,217,45.59108993873609,2,1
2,2.9418614397818312,2,1,97,213,53.55344075859873,2,1
6,3.0864643680116375,2,1,97,215,46.862052767464775,2,1
5,2.87418972622991,2,1,95,216,49.12481163693051,2,1
2,2.710633952580216,2,1,98,214,50.79108889621077,2,1
4,2.630052135074484,2,1,97,215,41.55248590824818,2,1
4,2.7056317865602013,2,1,95,215,43.233235607203106,2,1
2,2.7418073754520247,2,1,97,213,46.445321238099794,2,1
2,2.6856712570030266,2,1,95,217,37.34063712142183,2,1
3,2.386685931698893,2,1,95,214,40.563334756549494,2,1
5,2.6471097196847015,2,1,98,216,47.94702199766751,2,1
6,2.6590146545025743,2,1,98,214,47.153814505556056,2,1
5,2.918159365177652,2,1,96,216,44.74575969656377,2,1
3,3.2647658681729377,2,1,95,217,46.63659795920688,2,1
2,3.554258835517277,2,1,96,216,51.498054802252256,2,1
5,3.0611799834982136,2,1,97,217,44.07825070327132,2,1
3,3.3019653346317663,2,1,98,214,45.01600002668194,2,1
2,3.2440746916696166,2,1,98,216,52.44874623165976,2,1
6,3.754609829432312,2,1,95,214,44.81716653459053,2,1
3,2.7758101985618127,2,1,98,215,51.93227696194641,2,1
6,2.7678766653015394,2,1,95,214,43.46986504205079,2,1
5,3.595195944651213,2,1,98,215,49.21582740304354,2,1
6,2.5979131743183457,2,1,96,217,45.62143613793901,2,1
5,3.2345929186939233,2,1,97,217,46.048620164453304,2,1
2,3.3068537848691384,2,1,97,213,42.79645714413657,2,1
3,3.0206292834119717,2,1,98,213,45.62825355644625,2,1
5,3.3292807298495353,2,1,95,215,47.042529450875584,2,1
2,2.8426793529724153,2,1,96,216,52.016917453277884,2,1
6,3.298187660538476,2,1,96,215,44.369335932431355,2,1
2,2.7191620222018034,2,1,95,216,37.26197721621162,2,1
3,2.335544322383351,2,1,95,215,46.055203721257534,2,1
2,8.986363240844954,2,1,38,517,35.928996640900394,2,1
1,9.18223954636884,2,1,39,519,33.597730141662204,2,1
1,9.338339558515706,2,1,37,518,32.6314952355229,2,1
2,9.776321855905373,2,1,38,518,31.30910076036571,2,1
4,8.669091110588392,2,1,39,518,34.8255822683265,2,1
3,9.080478376140018,2,1,39,517,29.875951045927057,2,1
1,10.495398414502521,2,1,37,518,36.04700423137385,2,1
4,10.180160693264408,2,1,38,519,35.28677535782006,2,1
0,10.249894575387078,2,1,39,515,31.71814251697609,2,1
4,9.112542416141416,2,1,36,517,36.592796152756996,2,1
3,9.839236738479288,2,1,37,519,31.79502288855721,2,1
0,11.81693201940144,2,1,38,519,35.25394396591454,2,1
3,8.660729470328153,2,1,35,516,30.696470396868033,2,1
1,9.855440073369689,2,1,39,519,30.67886465114796,2,1
1,11.071674603652067,2,1,39,517,31.954878347538827,2,1
4,9.176574263033231,2,1,39,515,32.39947929574283,2,1
0,6.611822450712543,2,1,39,516,30.171670060152298,2,1
1,11.401258056190713,2,1,39,519,32.06784101278841,2,1
1,9.911330132790434,2,1,39,518,30.163977267141522,2,1
2,9.083724361769736,2,1,38,519,35.59815932068712,2,1
0,8.234092815411492,2,1,39,516,30.90875649368588,2,1
3,7.7014893747798965,2,1,38,515,35.17166114297169,2,1
3,10.327345916378786,2,1,38,519,27.15603631933297,2,1
3,8.969891282905913,2,1,35,519,34.19023042549751,2,1
4,8.65862701060695,2,1,35,518,30.19991230452676,2,1
2,9.049823054176557,2,1,36,517,35.674424373205035,2,1
3,9.660433520662423,2,1,37,517,30.705584242621185,2,1
2,8.883671400682742,2,1,38,517,34.469503728625405,2,1
2,11.101769505412145,2,1,36,516,31.59551493125148,2,1
4,10.303300446028983,2,1,37,515,35.21478989892865,2,1
3,11.446111310493652,2,1,39,519,30.58424376202647,2,1
1,8.530636018478006,2,1,35,517,33.464037249437325,2,1
4,8.24744435870257,2,1,37,518,31.92743407769436,2,1
0,8.903726320008657,2,1,37,519,32.48243322696754,2,1
4,11.031595733812345,2,1,38,517,32.127767750083535,2,1
2,10.468409617711032,2,1,39,517,33.5188108553108,2,1
3,8.755833122169117,2,1,38,518,37.95992969521557,2,1
3,7.767125305836406,2,1,35,515,34.643446074443126,2,1
4,11.345209765600806,2,1,36,518,29.140064829903856,2,1
3,11.335930808867973,2,1,38,518,29.708310183813072,2,1
0,9.340473270160425,2,1,81,830,94.5225952538363,4,1
0,7.3378396847785305,2,1,81,828,84.16897254412054,4,1
2,7.880042600979608,2,1,82,828,90.46970861154743,4,1
4,9.173590601473126,2,1,80,828,85.79608368357727,4,1
4,8.391579867395423,2,1,82,832,95.26593800154615,4,1
2,9.615726833090468,2,1,81,828,93.73741062885635,4,1
3,8.331675483281476,2,1,78,831,98.51855778348668,4,1
3,8.106415183950016,2,1,81,830,100.2365572999752,4,1
4,9.431730775179425,2,1,81,831,94.12548408238519,4,1
3,6.912282686061412,2,1,80,830,89.26164178688506,4,1
0,8.597874997838709,2,1,81,830,96.60333152500212,4,1
4,7.661888451000273,2,1,78,828,92.80183481653626,4,1
3,9.556224070305836,2,1,79,832,90.97529196044492,4,1
3,8.736845701024118,2,1,80,831,102.16396350119805,4,1
2,8.669814512708413,2,1,79,828,87.39838728384929,4,1
0,8.069316062118318,2,1,79,831,97.52796148444857,4,1
0,10.048233376340205,2,1,82,832,93.79488485195839,4,1
2,7.763995330749804,2,1,78,829,89.53826244270891,4,1
1,11.222830340258703,2,1,80,831,85.49446655818197,4,1
1,8.539738850164747,2,1,79,831,95.06306726327409,4,1
0,8.59233295430113,2,1,82,828,89.4853217829241,4,1
2,9.716741644238992,2,1,82,831,88.44181965794593,4,1
3,7.514617427461854,2,1,80,830,99.0738437806299,4,1
2,9.016808884466705,2,1,81,828,95.19576684446264,4,1
2,9.591059138986303,2,1,81,829,105.98823371766149,4,1
4,7.357056261359336,2,1,82,830,90.89793851196885,4,1
3,7.82680816641331,2,1,78,831,107.2333796598588,4,1
2,9.810408653831031,2,1,78,829,96.93620808936983,4,1
1,8.796418961338427,2,1,80,832,77.45121006483399,4,1
1,8.502011689691246,2,1,79,828,102.30558801951892,4,1
3,7.1198573122819955,2,1,81,829,93.35898943381197,4,1
1,8.535719697140836,2,1,79,830,103.0991302857015,4,1
1,9.39478150271943,2,1,80,830,93.83266153406139,4,1
4,9.774791630713095,2,1,82,832,101.0505314105878,4,1
3,6.105188560257677,2,1,81,830,93.72457315663259,4,1
1,8.527033351053678,2,1,78,830,101.58667407957475,4,1
3,8.813964860687255,2,1,80,828,85.29973186083821,4,1
4,9.803453696838082,2,1,78,830,75.33720724549387,4,1
4,8.867928861996555,2,1,80,828,95.528019414105,4,1
2,8.79402617338688,2,1,78,830,91.34275076571726,4,1
4,8.136761916502902,2,1,81,832,105.9593517474291,4,1
1,4.680527670318076,0,0,62,362,25.28231108194671,1,0
0,4.678100248967503,0,0,59,363,26.19870629104971,1,0
1,4.243596372202109,0,0,58,360,30.476352838920697,1,0
1,4.4642934078734635,0,0,59,363,29.875060388546373,1,0
1,4.1060175375063555,0,0,58,360,28.21811682363774,1,0
0,4.771595300054436,0,0,59,364,22.85081243232415,1,0
3,5.052543786081443,0,0,61,364,24.926018731939806,1,0
1,4.94368470052015,0,0,58,360,28.7271791394997,1,0
2,4.268325971568492,0,0,58,364,28.392427532811247,1,0
2,4.232826211120684,0,0,59,360,26.375573575374112,1,0
0,4.177923062338449,0,0,59,364,30.58242515035289,1,0
0,4.650176019351163,0,0,61,360,28.64510360052046,1,0
0,4.9588731657024905,0,0,62,364,24.9586895121194,1,0
0,5.038287360036199,0,0,60,362,26.552931259110352,1,0
0,5.1672087916588145,0,0,61,362,26.408142259980714,1,0
0,4.0370481069417155,0,0,61,363,24.993771005274724,1,0
0,4.339351086501933,0,0,58,363,26.689887463794896,1,0
3,5.039328635609129,0,0,62,364,24.826824816517053,1,0
0,4.1773730783777845,0,0,59,360,26.82718037280598,1,0
2,4.389625914261954,0,0,61,360,28.36149470907016,1,0
3,4.558890156684533,0,0,59,364,23.54058082532951,1,0
0,4.215348670573624,0,0,58,364,27.990878134243054,1,0
0,4.4185474211736135,0,0,59,360,27.2647895582273,1,0
0,4.852765641702194,0,0,60,362,28.561619231233898,1,0
0,5.009753811369133,0,0,59,361,29.62926366764276,1,0
1,4.278274064707867,0,0,58,363,26.85483111234109,1,0
0,5.275784229863866,0,0,60,360,25.212224148305957,1,0
0,4.836372743609968,0,0,58,363,31.794328190467514,1,0
1,5.088666211458408,0,0,62,361,28.390215166616382,1,0
0,5.214076549675908,0,0,58,360,28.3576048943872,1,0
2,4.951819628069301,0,0,61,360,25.888698096849744,1,0
0,4.525537191108351,0,0,61,362,22.01456735859692,1,0
3,4.597205416607189,0,0,61,364,28.903782215599495,1,0
3,3.9664024000541196,0,0,61,360,27.691975516931077,1,0
3,4.754855152188255,0,0,58,360,26.012467523670235,1,0
3,4.343917726989734,0,0,58,361,28.41238895421621,1,0
0,3.8869325318228904,0,0,59,362,25.79663779347686,1,0
0,4.63105833060695,0,0,59,364,26.07333784953355,1,0
3,3.87312907633794,0,0,58,364,27.729728470672296,1,0
2,4.538073376226073,0,0,62,363,29.755227508686602,1,0
3,4.402889559344951,0,0,61,363,30.060725339015306,1,0
6,1.2589661749379755,2,1,85,564,31.200148734647986,3,1
2,1.3356750770480703,2,1,86,561,33.88781372672709,3,1
5,1.3628995241119404,2,1,83,562,29.350056727333428,3,1
6,1.4532432596583635,2,1,87,562,31.72831954110518,3,1
5,1.4273922998952209,2,1,87,565,33.32601584335844,3,1
3,1.25519077924441,2,1,85,562,34.354353218045446,3,1
3,1.2919566897375458,2,1,87,564,33.33052281135218,3,1
3,1.312842319576393,2,1,86,563,36.34484253741631,3,1
4,1.027048814337591,2,1,87,564,34.84382815124341,3,1
4,1.3049539252276556,2,1,85,565,30.898911687617378,3,1
3,1.1564249560794946,2,1,87,561,31.72070522266206,3,1
4,1.4471238708784127,2,1,85,563,34.72091466136839,3,1
4,1.6250683145418654,2,1,84,563,30.45835071932042,3,1
3,1.1795295803811128,2,1,86,562,31.651655064781057,3,1
