epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4763,1.67778,3.18436,1.38717,0.00923,0.45556,0.04491,0.02297,1.69452,3.38218,1.39755,0.00025005,0.00025005,0.00025005
2,59.1067,1.53366,1.66519,1.255,0.02004,0.56809,0.1067,0.05793,1.69369,3.00697,1.33535,0.000511654,0.000511654,0.000511654
3,89.4896,1.62809,1.70004,1.26184,0.23719,0.09026,0.08783,0.0397,1.85141,2.71292,1.4933,0.000767977,0.000767977,0.000767977
4,121.164,1.52595,1.51795,1.24164,0.57015,0.06522,0.116,0.03827,1.94268,2.65705,1.54092,0.00101902,0.00101902,0.00101902
5,161.76,1.49645,1.47678,1.24396,0.1292,0.11065,0.08659,0.04034,2.0157,2.79995,1.64649,0.00126478,0.00126478,0.00126478
6,216.409,1.47648,1.40183,1.23447,0.25836,0.2825,0.1271,0.04125,2.10718,2.82299,1.83674,0.00150526,0.00150526,0.00150526
7,267.07,1.50947,1.46163,1.24127,0.12971,0.10358,0.06665,0.03135,2.05088,2.23411,1.66356,0.00156798,0.00156798,0.00156798
8,309.164,1.52726,1.41666,1.22322,0.23487,0.14578,0.15132,0.07924,1.85989,1.83242,1.55984,0.00155148,0.00155148,0.00155148
9,351.746,1.52868,1.41426,1.27982,0.37695,0.24033,0.20852,0.09866,1.80965,1.94643,1.53949,0.00153497,0.00153497,0.00153497
10,393.895,1.37913,1.34545,1.24703,0.30394,0.22911,0.14856,0.07933,1.88282,1.86382,1.47012,0.00151847,0.00151847,0.00151847
11,439.54,1.49814,1.31196,1.20089,0.70574,0.18542,0.19288,0.10167,1.78249,1.82982,1.51491,0.00150197,0.00150197,0.00150197
12,479.803,1.41831,1.19583,1.166,0.70972,0.18873,0.20825,0.10324,1.81539,1.80383,1.49286,0.00148546,0.00148546,0.00148546
13,526.141,1.49966,1.36902,1.23243,0.00572,0.02813,0.00985,0.00606,1.77677,6.67377,1.44533,0.00146896,0.00146896,0.00146896
14,567.22,1.35818,1.22238,1.1843,0.70011,0.22954,0.22044,0.11633,1.75698,1.66524,1.41386,0.00145246,0.00145246,0.00145246
15,611.44,1.33474,1.17652,1.17407,0.57593,0.23092,0.22621,0.12919,1.79466,1.95331,1.42909,0.00143595,0.00143595,0.00143595
16,662.503,1.40284,1.15325,1.17428,0.64728,0.23167,0.23355,0.14438,1.72978,1.62549,1.40213,0.00141945,0.00141945,0.00141945
17,713.12,1.38962,1.18804,1.1803,0.5762,0.20482,0.26041,0.12721,1.85409,1.60775,1.4926,0.00140295,0.00140295,0.00140295
18,759.603,1.29954,1.15276,1.16924,0.42479,0.21174,0.21636,0.12328,1.74751,1.66197,1.42146,0.00138644,0.00138644,0.00138644
19,811.318,1.30958,1.09402,1.14148,0.24493,0.26801,0.22662,0.12009,1.78418,1.74291,1.45985,0.00136994,0.00136994,0.00136994
20,866.986,1.31971,1.10848,1.14262,0.79986,0.23295,0.27266,0.15738,1.74414,1.56398,1.42089,0.00135344,0.00135344,0.00135344
21,928.093,1.26833,1.06209,1.11938,0.48465,0.19562,0.21438,0.09883,1.76709,1.82457,1.42629,0.00133693,0.00133693,0.00133693
22,995.128,1.30226,1.05042,1.12784,0.57832,0.25597,0.23449,0.10698,1.82482,1.62163,1.49631,0.00132043,0.00132043,0.00132043
23,1057.08,1.26192,1.04367,1.11185,0.64049,0.25469,0.24001,0.13125,1.65084,1.54414,1.37041,0.00130393,0.00130393,0.00130393
24,1120.58,1.23832,1.02869,1.11432,0.68813,0.28451,0.28025,0.18548,1.64128,1.29399,1.34031,0.00128742,0.00128742,0.00128742
25,1172.22,1.20879,0.99891,1.11102,0.61051,0.22016,0.26098,0.1661,1.7271,1.52775,1.40032,0.00127092,0.00127092,0.00127092
26,1224.96,1.17091,0.94073,1.09021,0.8217,0.17775,0.23624,0.13481,1.57721,1.32311,1.32173,0.00125442,0.00125442,0.00125442
27,1300.11,1.23302,1.0039,1.10594,0.63373,0.26876,0.25037,0.15793,1.599,1.55035,1.30847,0.00123791,0.00123791,0.00123791
28,1370.86,1.28984,1.01952,1.12171,0.69998,0.20791,0.24486,0.14323,1.65756,1.45197,1.34161,0.00122141,0.00122141,0.00122141
29,1427.9,1.24974,0.99944,1.10766,0.54866,0.24829,0.25223,0.16571,1.63985,1.41227,1.30208,0.00120491,0.00120491,0.00120491
30,1500.33,1.2333,1.01591,1.093,0.72506,0.13811,0.19923,0.11362,1.69515,1.62569,1.34087,0.0011884,0.0011884,0.0011884
31,1588.97,1.28426,0.99912,1.11066,0.64657,0.23657,0.29222,0.1667,1.71333,1.57457,1.40027,0.0011719,0.0011719,0.0011719
32,1656.27,1.23843,0.97434,1.08895,0.4296,0.27387,0.2534,0.1406,1.75501,1.50124,1.41837,0.0011554,0.0011554,0.0011554
33,1720.59,1.20626,0.91641,1.086,0.59872,0.20663,0.22781,0.12817,1.59044,1.49107,1.29253,0.00113889,0.00113889,0.00113889
34,1801.77,1.16163,0.91834,1.07532,0.76913,0.26149,0.28366,0.16095,1.65492,1.41652,1.30418,0.00112239,0.00112239,0.00112239
35,1873.05,1.19717,0.93658,1.09637,0.57459,0.23291,0.24882,0.1482,1.61297,1.32499,1.35244,0.00110589,0.00110589,0.00110589
36,1968.52,1.19949,0.88749,1.07363,0.81979,0.15985,0.19867,0.11071,1.59721,1.32638,1.29514,0.00108938,0.00108938,0.00108938
37,2075.45,1.21467,0.8515,1.03782,0.79642,0.21633,0.26735,0.15071,1.64472,1.53209,1.33238,0.00107288,0.00107288,0.00107288
38,2173.87,1.19028,0.87722,1.06647,0.5742,0.26278,0.27564,0.14914,1.6834,1.47227,1.34132,0.00105638,0.00105638,0.00105638
39,2266.69,1.18659,0.89862,1.05734,0.65491,0.2143,0.25787,0.16249,1.6009,1.3184,1.30691,0.00103987,0.00103987,0.00103987
