epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4543,2.29385,3.20566,1.64444,0.23399,0.34984,0.23058,0.07435,2.78218,3.93352,1.6532,0.000326389,0.000326389,0.0676875
2,138.116,2.0109,2.08685,1.45305,0.32259,0.27796,0.19062,0.04685,3.04706,2.50404,1.8111,0.000653191,0.000653191,0.034681
3,234.221,1.93179,1.8762,1.38655,0.58302,0.3467,0.36929,0.16369,1.98879,2.21808,1.31452,0.000973393,0.000973393,0.00166784
4,343.137,1.90975,1.71999,1.37685,0.42236,0.36466,0.29892,0.11026,2.38337,2.13559,1.54581,0.0009703,0.0009703,0.0009703
5,483.599,1.9125,1.72557,1.3968,0.39793,0.19256,0.18077,0.06197,2.45718,2.33977,1.55068,0.0009604,0.0009604,0.0009604
6,624.746,1.81279,1.58984,1.3392,0.44467,0.29356,0.24862,0.09355,2.15916,2.00215,1.34244,0.0009505,0.0009505,0.0009505
7,776.316,1.81979,1.55816,1.33611,0.54167,0.47937,0.45599,0.14767,2.29663,1.84003,1.42739,0.0009406,0.0009406,0.0009406
8,975.817,1.81449,1.52613,1.33649,0.54732,0.21122,0.21068,0.08204,2.14044,1.84475,1.35082,0.0009307,0.0009307,0.0009307
9,1179.59,1.78617,1.48032,1.32216,0.61306,0.30607,0.31399,0.12351,2.11074,1.54995,1.35148,0.0009208,0.0009208,0.0009208
10,1378.35,1.76094,1.48278,1.31228,0.66279,0.51291,0.58377,0.23922,1.82563,1.56834,1.27024,0.0009109,0.0009109,0.0009109
11,1550.66,1.76952,1.45083,1.29388,0.641,0.53376,0.54107,0.20261,2.11492,1.4457,1.32079,0.000901,0.000901,0.000901
12,1732.28,1.75429,1.40124,1.27711,0.6764,0.54209,0.54887,0.18132,2.37188,1.60125,1.35556,0.0008911,0.0008911,0.0008911
13,1919.37,1.75447,1.38867,1.29323,0.58255,0.62841,0.60905,0.23059,2.10098,1.46499,1.29051,0.0008812,0.0008812,0.0008812
14,2136.5,1.72523,1.34837,1.27771,0.58905,0.53106,0.54993,0.21442,2.0264,1.53662,1.30929,0.0008713,0.0008713,0.0008713
15,2396.3,1.6931,1.36194,1.26106,0.67085,0.54085,0.60746,0.2692,1.87824,1.39534,1.23947,0.0008614,0.0008614,0.0008614
16,2566.46,1.6771,1.34266,1.25826,0.63617,0.60133,0.6397,0.29167,1.8164,1.39944,1.19763,0.0008515,0.0008515,0.0008515
17,2783.18,1.65674,1.3062,1.24667,0.66832,0.35098,0.33856,0.15869,1.8363,1.45273,1.21588,0.0008416,0.0008416,0.0008416
18,3158.14,1.67583,1.31022,1.26801,0.6504,0.34889,0.3413,0.15854,1.97249,1.5017,1.2153,0.0008317,0.0008317,0.0008317
19,3507.03,1.68514,1.28863,1.25794,0.58174,0.47899,0.47089,0.19749,1.97128,1.41179,1.1933,0.0008218,0.0008218,0.0008218
20,3975.12,1.67534,1.30804,1.24961,0.70851,0.55755,0.58488,0.24979,1.92973,1.42362,1.21073,0.0008119,0.0008119,0.0008119
21,4429.04,1.6841,1.29551,1.25395,0.64222,0.44006,0.48129,0.19395,1.99695,1.46455,1.27747,0.000802,0.000802,0.000802
22,4769.66,1.67582,1.28361,1.24779,0.69977,0.70601,0.71822,0.27293,2.03754,1.36879,1.23781,0.0007921,0.0007921,0.0007921
23,4900.93,1.65096,1.25619,1.25355,0.67471,0.70286,0.68821,0.26206,2.06727,1.35188,1.20285,0.0007822,0.0007822,0.0007822
24,5219.44,1.6581,1.24469,1.22514,0.69586,0.62918,0.64341,0.21885,2.20932,1.39282,1.23322,0.0007723,0.0007723,0.0007723
25,5457.32,1.66525,1.25316,1.24485,0.71481,0.69831,0.7385,0.33046,1.86918,1.28094,1.16051,0.0007624,0.0007624,0.0007624
26,5707.88,1.66863,1.2359,1.22769,0.71219,0.69393,0.70027,0.28776,2.02412,1.38471,1.21181,0.0007525,0.0007525,0.0007525
27,5999.08,1.6634,1.23256,1.22428,0.63973,0.67814,0.69088,0.30151,1.84941,1.4092,1.2066,0.0007426,0.0007426,0.0007426
28,6210.32,1.64134,1.22167,1.20872,0.71303,0.6745,0.67848,0.27327,1.9683,1.36696,1.21051,0.0007327,0.0007327,0.0007327
29,6362.99,1.6009,1.20603,1.21954,0.73901,0.60292,0.63322,0.26915,1.8673,1.35503,1.17124,0.0007228,0.0007228,0.0007228
30,6750.08,1.6279,1.20941,1.21026,0.73315,0.68236,0.73635,0.32838,1.77524,1.35012,1.16977,0.0007129,0.0007129,0.0007129
31,6903.1,1.58784,1.18804,1.21447,0.67191,0.76496,0.73887,0.27661,1.97118,1.31754,1.25056,0.000703,0.000703,0.000703
32,7300.83,1.60983,1.19637,1.20156,0.70603,0.72428,0.74103,0.28136,1.96,1.31986,1.20223,0.0006931,0.0006931,0.0006931
33,7730.15,1.61479,1.18256,1.19394,0.73249,0.64237,0.64435,0.29814,1.81717,1.35348,1.12107,0.0006832,0.0006832,0.0006832
34,8369.31,1.60373,1.16978,1.18927,0.75611,0.70129,0.6933,0.26377,2.01126,1.32923,1.17391,0.0006733,0.0006733,0.0006733
35,8622.87,1.62724,1.17353,1.1952,0.72457,0.74403,0.75774,0.32699,1.8259,1.34752,1.1237,0.0006634,0.0006634,0.0006634
