epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.644,2.16831,4.64372,1.7364,0.01951,0.63786,0.42869,0.17838,1.74541,4.76738,1.25191,0.000407986,0.000407986,0.000407986
2,387.908,1.74773,2.95766,1.30383,0.68642,0.63215,0.67165,0.2542,1.91914,3.2467,1.28801,0.00081921,0.00081921,0.00081921
3,632.257,1.73841,2.51397,1.28922,0.59483,0.51274,0.4719,0.2175,1.74002,3.19715,1.32482,0.00122493,0.00122493,0.00122493
4,893.891,1.68926,2.25538,1.26893,0.65069,0.48599,0.46803,0.18763,1.95481,2.57882,1.38206,0.00122525,0.00122525,0.00122525
5,1159.77,1.65434,1.9539,1.25855,0.65415,0.43557,0.41651,0.1883,1.77142,2.19828,1.23571,0.001217,0.001217,0.001217
6,1481.4,1.63832,1.75399,1.22538,0.67556,0.32439,0.30773,0.14001,1.79281,1.8489,1.32039,0.00120875,0.00120875,0.00120875
7,1799.93,1.6063,1.62212,1.23322,0.7205,0.28906,0.27682,0.11562,1.83832,1.64257,1.31024,0.0012005,0.0012005,0.0012005
8,2129.79,1.62671,1.55977,1.21986,0.63904,0.29018,0.29231,0.14655,1.69895,1.56226,1.22761,0.00119225,0.00119225,0.00119225
9,2554.02,1.58483,1.41679,1.19819,0.7294,0.34341,0.33948,0.16275,1.69658,1.41295,1.23052,0.001184,0.001184,0.001184
10,2967.2,1.60599,1.42215,1.20231,0.82417,0.38947,0.40442,0.2015,1.6534,1.3374,1.23548,0.00117575,0.00117575,0.00117575
11,3375.41,1.57769,1.31988,1.20093,0.78831,0.4414,0.46306,0.21026,1.68771,1.30135,1.241,0.0011675,0.0011675,0.0011675
12,3833.29,1.5736,1.33723,1.20788,0.80019,0.53198,0.55094,0.25305,1.71968,1.31796,1.23091,0.00115925,0.00115925,0.00115925
13,5130.56,1.54586,1.27531,1.18394,0.85343,0.38398,0.39716,0.18254,1.75358,1.26471,1.20222,0.001151,0.001151,0.001151
14,5652.17,1.56571,1.27585,1.18645,0.77205,0.47458,0.47881,0.24141,1.61069,1.2495,1.17508,0.00114275,0.00114275,0.00114275
